Trial,CurrentMemorySetSize,TimeBetweenShapes,ShapeDuration,TrialType,CurrentScore,MaxScore_Trial,MaxScore_Total,Shape_1_DraggedTo,Shape_1_Score,Shape_1_Placed,Shape_1_CorrectShape,Shape_1_CorrectPosition,Shape_1_CorrectColors,Shape_1_CorrectShapes,Shape_2_DraggedTo,Shape_2_Score,Shape_2_Placed,Shape_2_CorrectShape,Shape_2_CorrectPosition,Shape_2_CorrectColors,Shape_2_CorrectShapes,Shape_3_DraggedTo,Shape_3_Score,Shape_3_Placed,Shape_3_CorrectShape,Shape_3_CorrectPosition,Shape_3_CorrectColors,Shape_3_CorrectShapes,Shape_4_DraggedTo,Shape_4_Score,Shape_4_Placed,Shape_4_CorrectShape,Shape_4_CorrectPosition,Shape_4_CorrectColors,Shape_4_CorrectShapes,FinalScore,date,frameRate,expName,session,participant,
0,2,1.0,0.8,Practice,15,45,45,1,15,14,14,1,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,4,0,10,10,8,9,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
1,2,0.6,0.7,Practice,60,45,90,7,15,8,8,7,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,14,30,12,12,14,13,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
2,2,0.2,0.6,Practice,75,45,135,14,15,0,0,14,1,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,6,0,8,8,3,9,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
3,2,1.0,0.8,Practice,120,45,180,7,15,10,10,7,9,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,11,30,15,15,11,13,7,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
0,2,1.0,0.8,ExperimentalTrials,45,45,45,3,15,0,0,3,1,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,11,30,12,12,11,13,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
1,2,0.6,0.7,ExperimentalTrials,90,45,90,13,15,4,4,13,5,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,5,30,0,0,5,1,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
2,2,0.2,0.6,ExperimentalTrials,135,45,135,3,15,6,6,3,5,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,0,30,10,10,0,9,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
3,2,1.0,0.8,ExperimentalTrials,180,45,180,10,15,12,12,10,13,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,13,30,6,6,13,5,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
4,2,0.6,0.7,ExperimentalTrials,225,45,225,3,15,2,2,3,1,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,4,30,15,15,4,13,7,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
5,2,0.2,0.6,ExperimentalTrials,240,45,270,8,15,13,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,5,0,4,4,6,5,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
6,3,1.0,1.0,ExperimentalTrials,345,105,375,5,15,13,13,5,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,15,30,9,9,15,9,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,2,60,1,1,2,1,5,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
7,3,0.6,0.9,ExperimentalTrials,450,105,480,13,15,13,13,13,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,8,30,9,9,8,9,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,3,60,1,1,3,1,5,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
8,3,0.2,0.8,ExperimentalTrials,555,105,585,4,15,8,8,4,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,12,30,12,12,12,13,4,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,7,60,4,4,7,5,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
9,3,1.0,0.8,ExperimentalTrials,590,105,690,1,10,10,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,4,10,2,10,4,9,6,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,,,,,,,,9,15,12,12,9,13,4,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
10,3,0.6,0.7,ExperimentalTrials,695,105,795,7,15,7,7,7,5,7,,,,,,,,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
,,,,,,,,,,,,,,,11,30,5,5,11,5,5,,,,,,,,,,,,,,,,2016_Sep_15_1556,60.0164946268,Shapebuilder_8_8_2016,001,taylor,
